max_cut_value,time_in_nanoseconds,solver,node_count,edge_count,graph_name
22,170197200,BruteForceMaxCutSolver,11,31,data/set5/graph_2025-05-29-12-12-4411_21.csv
22,183490000,BruteForceMaxCutSolver,11,34,data/set5/graph_2025-05-29-12-12-4411_22.csv
23,188201500,BruteForceMaxCutSolver,11,35,data/set5/graph_2025-05-29-12-12-4411_23.csv
25,136971600,BruteForceMaxCutSolver,11,41,data/set5/graph_2025-05-29-12-12-4411_24.csv
23,125598900,BruteForceMaxCutSolver,11,37,data/set5/graph_2025-05-29-12-12-4411_25.csv
27,123453400,BruteForceMaxCutSolver,11,46,data/set5/graph_2025-05-29-12-12-4411_35.csv
23,125559700,BruteForceMaxCutSolver,11,36,data/set5/graph_2025-05-29-12-12-4411_36.csv
30,127047600,BruteForceMaxCutSolver,11,58,data/set5/graph_2025-05-29-12-12-4411_37.csv
29,159432800,BruteForceMaxCutSolver,11,51,data/set5/graph_2025-05-29-12-12-4411_38.csv
30,128903300,BruteForceMaxCutSolver,11,61,data/set5/graph_2025-05-29-12-12-4411_39.csv
29,125898500,BruteForceMaxCutSolver,11,49,data/set5/graph_2025-05-29-12-12-4411_40.csv
30,159766000,BruteForceMaxCutSolver,11,62,data/set5/graph_2025-05-29-12-12-4411_41.csv
30,129918400,BruteForceMaxCutSolver,11,64,data/set5/graph_2025-05-29-12-12-4411_42.csv
30,131775000,BruteForceMaxCutSolver,11,59,data/set5/graph_2025-05-29-12-12-4411_47.csv
30,150165900,BruteForceMaxCutSolver,11,62,data/set5/graph_2025-05-29-12-12-4411_50.csv
30,193055900,BruteForceMaxCutSolver,11,65,data/set5/graph_2025-05-29-12-12-4411_51.csv
30,259584900,BruteForceMaxCutSolver,11,61,data/set5/graph_2025-05-29-12-12-4411_52.csv
30,241822800,BruteForceMaxCutSolver,11,66,data/set5/graph_2025-05-29-12-12-4411_53.csv
30,197521300,BruteForceMaxCutSolver,11,63,data/set5/graph_2025-05-29-12-12-4411_54.csv
29,137569000,BruteForceMaxCutSolver,11,55,data/set5/graph_2025-05-29-12-12-4411_55.csv
30,129129300,BruteForceMaxCutSolver,11,56,data/set5/graph_2025-05-29-12-12-4411_56.csv
30,128052800,BruteForceMaxCutSolver,11,65,data/set5/graph_2025-05-29-12-12-4411_57.csv
57,6025083100,BruteForceMaxCutSolver,16,100,data/set5/graph_2025-05-29-12-12-4416_100.csv
25,5352134100,BruteForceMaxCutSolver,16,34,data/set5/graph_2025-05-29-12-12-4416_34.csv
27,5858051100,BruteForceMaxCutSolver,16,35,data/set5/graph_2025-05-29-12-12-4416_35.csv
54,6084608100,BruteForceMaxCutSolver,16,89,data/set5/graph_2025-05-29-12-12-4416_36.csv
52,5970043500,BruteForceMaxCutSolver,16,85,data/set5/graph_2025-05-29-12-12-4416_37.csv
55,6434294200,BruteForceMaxCutSolver,16,95,data/set5/graph_2025-05-29-12-12-4416_38.csv
