max_cut_value,time_in_nanoseconds,solver,node_count,edge_count,graph_name
15,65099800,BruteForceMaxCutSolver,10,20,data/set6/graph_2025-06-02-19-00-1510_20.csv
16,44300300,BruteForceMaxCutSolver,10,22,data/set6/graph_2025-06-02-19-00-1510_22.csv
16,92780200,BruteForceMaxCutSolver,11,19,data/set6/graph_2025-06-02-19-00-1511_19.csv
22,89727900,BruteForceMaxCutSolver,11,31,data/set6/graph_2025-06-02-19-00-1511_20.csv
29,99963800,BruteForceMaxCutSolver,11,46,data/set6/graph_2025-06-02-19-00-1511_21.csv
23,91419400,BruteForceMaxCutSolver,11,34,data/set6/graph_2025-06-02-19-00-1511_22.csv
26,109048400,BruteForceMaxCutSolver,11,40,data/set6/graph_2025-06-02-19-00-1511_23.csv
27,98051600,BruteForceMaxCutSolver,11,41,data/set6/graph_2025-06-02-19-00-1511_24.csv
18,99281200,BruteForceMaxCutSolver,11,26,data/set6/graph_2025-06-02-19-00-1511_26.csv
22,99577800,BruteForceMaxCutSolver,11,30,data/set6/graph_2025-06-02-19-00-1511_30.csv
22,105965500,BruteForceMaxCutSolver,11,31,data/set6/graph_2025-06-02-19-00-1511_31.csv
28,104376700,BruteForceMaxCutSolver,11,43,data/set6/graph_2025-06-02-19-00-1511_32.csv
30,106865800,BruteForceMaxCutSolver,11,49,data/set6/graph_2025-06-02-19-00-1511_33.csv
30,99352400,BruteForceMaxCutSolver,11,55,data/set6/graph_2025-06-02-19-00-1511_34.csv
30,104042000,BruteForceMaxCutSolver,11,54,data/set6/graph_2025-06-02-19-00-1511_35.csv
25,99637900,BruteForceMaxCutSolver,11,36,data/set6/graph_2025-06-02-19-00-1511_36.csv
26,126016100,BruteForceMaxCutSolver,11,37,data/set6/graph_2025-06-02-19-00-1511_37.csv
26,110883800,BruteForceMaxCutSolver,11,38,data/set6/graph_2025-06-02-19-00-1511_38.csv
26,107465600,BruteForceMaxCutSolver,11,39,data/set6/graph_2025-06-02-19-00-1511_39.csv
26,109644500,BruteForceMaxCutSolver,11,40,data/set6/graph_2025-06-02-19-00-1511_40.csv
30,105312000,BruteForceMaxCutSolver,11,54,data/set6/graph_2025-06-02-19-00-1511_43.csv
30,110411400,BruteForceMaxCutSolver,11,55,data/set6/graph_2025-06-02-19-00-1511_44.csv
29,112781100,BruteForceMaxCutSolver,11,45,data/set6/graph_2025-06-02-19-00-1511_45.csv
30,114521900,BruteForceMaxCutSolver,11,54,data/set6/graph_2025-06-02-19-00-1511_46.csv
30,129888700,BruteForceMaxCutSolver,11,55,data/set6/graph_2025-06-02-19-00-1511_47.csv
30,99622600,BruteForceMaxCutSolver,11,55,data/set6/graph_2025-06-02-19-00-1511_48.csv
30,108064500,BruteForceMaxCutSolver,11,49,data/set6/graph_2025-06-02-19-00-1511_49.csv
30,124562900,BruteForceMaxCutSolver,11,51,data/set6/graph_2025-06-02-19-00-1511_51.csv
25,1716497400,BruteForceMaxCutSolver,15,33,data/set6/graph_2025-06-02-19-00-1515_33.csv
26,3323339800,BruteForceMaxCutSolver,16,32,data/set6/graph_2025-06-02-19-00-1516_32.csv
44,3623759000,BruteForceMaxCutSolver,16,63,data/set6/graph_2025-06-02-19-00-1516_34.csv
39,3445651400,BruteForceMaxCutSolver,16,53,data/set6/graph_2025-06-02-19-00-1516_35.csv
52,3448407000,BruteForceMaxCutSolver,16,79,data/set6/graph_2025-06-02-19-00-1516_36.csv
57,3362321000,BruteForceMaxCutSolver,16,90,data/set6/graph_2025-06-02-19-00-1516_37.csv
49,3287896700,BruteForceMaxCutSolver,16,74,data/set6/graph_2025-06-02-19-00-1516_38.csv
31,3237049900,BruteForceMaxCutSolver,16,40,data/set6/graph_2025-06-02-19-00-1516_40.csv
59,3938149700,BruteForceMaxCutSolver,16,95,data/set6/graph_2025-06-02-19-00-1516_55.csv
